file_names,original_script,fluency,spoken_text,remarks
08dae734-723f-5a53-0490-4b02d8bfcc06_21,我买了一碗粥给她吃,3,我埋了一碗粥给她吃,
08dae734-723f-5a53-0490-4b02d8bfcc06_22,我还买了一包牛奶给文云,3,我还埋了一包牛奶给文云,
08dae734-723f-5a53-0490-4b02d8bfcc06_23,文云抱了我一下 跟我说 谢谢你,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_24,看到朋友开心起来 我很快乐,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_25,爸爸妈妈说 当朋友有需要 你应该关心他们,3,爸爸妈妈说 灯 当朋友有需要 你应该 关型 关心他们,
08dae734-723f-5a53-0490-4b02d8bfcc06_26,可以帮助到别人 我很骄傲,3,,
08dae734-723f-5a53-0490-4b02d8bfcc06_3,一只青蛙蹲坐在叶子上,3,一只青蛙顿坐在叶子上,
08dae734-723f-5a53-0490-4b02d8bfcc06_4,公园里 水池边,3,公园里 谁池边,
08dae734-723f-5a53-0490-4b02d8bfcc06_5,一 二 三 四,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_7,他们都在大声唱歌,4,,
08dae734-723f-5a53-0490-4b02d8bfcc06_8,小鸭子游泳 也呱呱叫,3,小鸭子由泳 也呱呱叫,
08dae734-723f-5a53-0490-4b02d8bfcc06_9,我的名字是张四光,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_0,树枝上有一个鸟窝,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_1,鸟儿们住在鸟窝里,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_10,我今年七岁,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_11,我是阳光小学一年级的学生,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_12,学校就在我家不远的地方,3,学校就在我家不玄的地方,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_13,学校又大又美丽,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_14,学校也很干净,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_15,我爱我的学校,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_16,文云是我的朋友,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_17,有一次 她伤心地哭了,3,我一次 她伤心地哭了,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_18,因为她丢了钱包,2,因为她吨了铅笔,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_19,我很同情她,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_2,一片绿叶浮在水中间,2,一 I don't know 绿叶浮在水中里,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_20,我约她去食堂,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_21,我买了一碗粥给她吃,3,我买了一碗搜给她吃,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_22,我还买了一包牛奶给文云,3,我还美 我还买了一包牛奶给文云,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_23,文云抱了我一下 跟我说 谢谢你,3,文云包了我一下 说 我说 谢谢你,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_24,看到朋友开心起来 我很快乐,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_25,爸爸妈妈说 当朋友有需要 你应该关心他们,,爸爸妈妈说 当朋友有 肖要 你应该关心他们,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_26,可以帮助到别人 我很骄傲,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_3,一只青蛙蹲坐在叶子上,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_4,公园里 水池边,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_5,一 二 三 四,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_7,他们都在大声唱歌,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_8,小鸭子游泳 也呱呱叫,4,,
0c80977d-dcba-25d7-d8dc-ce68dc75145c_9,我的名字是张四光,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_0,树枝上有一个鸟窝,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_1,鸟儿们住在鸟窝里,3,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_10,我今年七岁,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_11,我是阳光小学一年级的学生,3,我是阳光学校一年级的学生,
1c6fb706-503c-55cf-b14e-a25676f9dda8_12,学校就在我家不远的地方,3,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_13,学校又大又美丽,2,学校有大  学校又大又美李,
1c6fb706-503c-55cf-b14e-a25676f9dda8_14,学校也很干净,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_15,我爱我的学校,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_16,文云是我的朋友,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_17,有一次 她伤心地哭了,4,2,
1c6fb706-503c-55cf-b14e-a25676f9dda8_18,因为她丢了钱包,3,赢文 她 丢丢 了钱包,
1c6fb706-503c-55cf-b14e-a25676f9dda8_19,我很同情她,2,我痕同学情她,
1c6fb706-503c-55cf-b14e-a25676f9dda8_2,一片绿叶浮在水中间,3,一片绿叶浮着水中间,
1c6fb706-503c-55cf-b14e-a25676f9dda8_20,我约她去食堂,2,我月她除食堂,
1c6fb706-503c-55cf-b14e-a25676f9dda8_21,我买了一碗粥给她吃,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_22,我还买了一包牛奶给文云,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_23,文云抱了我一下 跟我说 谢谢你,3,文云包了我一下 跟我说 谢谢你,
1c6fb706-503c-55cf-b14e-a25676f9dda8_24,看到朋友开心起来 我很快乐,3,看到朋友伤心 以其爱 其来 我很快乐,
1c6fb706-503c-55cf-b14e-a25676f9dda8_25,爸爸妈妈说 当朋友有需要 你应该关心他们,3,爸爸妈妈说 当这朋友有需要 你应该关心他们,
1c6fb706-503c-55cf-b14e-a25676f9dda8_26,可以帮助到别人 我很骄傲,3,可以帮助祷 到别人 我很骄爱,
1c6fb706-503c-55cf-b14e-a25676f9dda8_3,一只青蛙蹲坐在叶子上,3,一只青蛙顿坐在叶子上,
1c6fb706-503c-55cf-b14e-a25676f9dda8_4,公园里 水池边,3,公园里 树这边,
1c6fb706-503c-55cf-b14e-a25676f9dda8_5,一 二 三 四,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,3,妹妹 哥哥 弟弟三个人 和一只小鸟子,
1c6fb706-503c-55cf-b14e-a25676f9dda8_7,他们都在大声唱歌,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_8,小鸭子游泳 也呱呱叫,4,,
1c6fb706-503c-55cf-b14e-a25676f9dda8_9,我的名字是张四光,4,,
1d9255cb-7963-17e4-fe23-77733ac0b917_0,树枝上有一个鸟窝,4,,
1d9255cb-7963-17e4-fe23-77733ac0b917_1,鸟儿们住在鸟窝里,4,,
1d9255cb-7963-17e4-fe23-77733ac0b917_10,我今年七岁,3,,
1d9255cb-7963-17e4-fe23-77733ac0b917_11,我是阳光小学一年级的学生,3,我是阳 阳光小学一年级的同学生 的学生,
1d9255cb-7963-17e4-fe23-77733ac0b917_12,学校就在我家不远的地方,3,,
1d9255cb-7963-17e4-fe23-77733ac0b917_13,学校又大又美丽,3,学校有大又美丽,
1d9255cb-7963-17e4-fe23-77733ac0b917_14,学校也很干净,4,,
1d9255cb-7963-17e4-fe23-77733ac0b917_15,我爱我的学校,4,,
1d9255cb-7963-17e4-fe23-77733ac0b917_16,文云是我的朋友,4,,
1d9255cb-7963-17e4-fe23-77733ac0b917_17,有一次 她伤心地哭了,3,有一 有一次 她伤心地哭了,
1d9255cb-7963-17e4-fe23-77733ac0b917_18,因为她丢了钱包,3,因为他 她 对了钱包,
1d9255cb-7963-17e4-fe23-77733ac0b917_19,我很同情她,2,我很 我很 同 同轻她,
1d9255cb-7963-17e4-fe23-77733ac0b917_2, 绿叶浮在水中间,1,,
1d9255cb-7963-17e4-fe23-77733ac0b917_20,我约她去食堂,2,我月 越 她去 福堂,
1d9255cb-7963-17e4-fe23-77733ac0b917_21,我买了一碗粥给她吃,3,,
1d9255cb-7963-17e4-fe23-77733ac0b917_22,我还买了一包牛奶给文云,3,我还买了一包牛奶给给文云,
1d9255cb-7963-17e4-fe23-77733ac0b917_23,文云抱了我一下 跟我说 谢谢你,3,文云包了我一下 跟我说 谢谢你,
1d9255cb-7963-17e4-fe23-77733ac0b917_24,看到朋友开心起来 我很快乐,3,看到朋友开心 心 起来了 起来 我很快乐,
1d9255cb-7963-17e4-fe23-77733ac0b917_25,爸爸妈妈说 当朋友有需要 你应该关心他们,3,爸爸妈妈说 当朋友有有 需要 你应该关 关 他们,
1d9255cb-7963-17e4-fe23-77733ac0b917_26,可以帮助到别人 我很骄傲,3,可以帮助到别人 我很 我很 我很骄傲,
1d9255cb-7963-17e4-fe23-77733ac0b917_3,一只青蛙蹲坐在叶子上,3,,
1d9255cb-7963-17e4-fe23-77733ac0b917_4,公园里 水池边,2,公园里 有 水 班,
1d9255cb-7963-17e4-fe23-77733ac0b917_5,一 二 三 四,4,,
1d9255cb-7963-17e4-fe23-77733ac0b917_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,3,妹妹 哥哥 弟弟三个人 和一只小鸟 子,
1d9255cb-7963-17e4-fe23-77733ac0b917_7,他们都在大声唱歌,3,他们都在大声 昌个 唱歌,
1d9255cb-7963-17e4-fe23-77733ac0b917_8,小鸭子游泳 也呱呱叫,3,小鸟 小鸭 小鸭子游泳 也呱呱叫,
1d9255cb-7963-17e4-fe23-77733ac0b917_9,我的名字是张四光,2,的名字是张 张 四 光 光,
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_0,树枝上有一个鸟窝,2,树在上有一个鸟,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_1,鸟儿们住在鸟窝里,2,鸟儿们住在鸟窝,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_10,我今年七岁,1,我,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_11,我是阳光小学一年级的学生,1,岁 阳 小 一年 的 生,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_12,学校就在我家不远的地方,1,？,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_13,学校又大又美丽,1,学 ,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_15,文云是我的朋友,1,文 谁 我的朋友,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_16,有一次 她伤心地哭了,1,有 哭了,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_17,因为她丢了钱包,1,,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_18,我很同情她,2,,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_19,我约她去食堂,1,他 哭 十,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_2,一片绿叶浮在水中间,1,一片  浮 ,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_20,我买了一碗粥给她吃,1,我 轴 给她吃,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_3,一只青蛙蹲坐在叶子上,1,一只青 顿 ,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_4,公园里 水池边,1,公园,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_5,一 二 三 四,4,,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,2,妹妹 哥哥 弟弟三个人 还小鸭子,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_7,他们都在大声唱歌,2,他们 在 常 歌,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_8,小鸭子游泳 也呱呱叫,1,游泳 也呱,hard to hear
1e16cd17-c0bc-5ee8-fd8f-d01179e411b3_9,我的名字是张四光,2,我的名字 张写 工,hard to hear
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_0,树枝上有一个鸟窝,2,树字 又 一个鸟窝,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_1,鸟儿们住在鸟窝里,3,鸟儿们坐在鸟窝里,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_10,我今年七岁,2,我今逆七说,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_11,我是阳光小学一年级的学生,2,我是阳光小学一一啊级的学生,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_12,学校就在我家不远的地方,3,学校 学校 就在我千不远的地方,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_13,学校又大又美丽,2,学校有大有魅 里,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_14,学校也很干净,2,学校页很过净,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_15,我爱我的学校,3,我爱我的学生,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_16,文云是我的朋友,3,问云是我的朋友,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_17,有一次 她伤心地哭了,2,有一吃 她上上开心地看了,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_18,因为她丢了钱包,1,因为她的了我吧,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_19,我很同情她,2,我很动听她,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_2,一片绿叶浮在水中间,3,一片一片 佛 在水中间,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_20,我约她去食堂,2,我云她去师它,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_21,我买了一碗粥给她吃,3,我埋了一碗粥给她吃,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_22,我还买了一包牛奶给文云,2,我害没了一包 更我云,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_23,文云抱了我一下 跟我说 谢谢你,2,问玉 抱了我一行 更我说 斜斜你,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_24,看到朋友开心起来 我很快乐,3,看到朋友开心气来 我很快乐,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_25,爸爸妈妈说 当朋友有需要 你应该关心他们,2,爸爸妈妈说 烫你 朋友有玉要 你高 高心他们,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_26,可以帮助到别人 我很骄傲,2,看以帮助它 人 我很高傲,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_3,一只青蛙蹲坐在叶子上,2,一计 青 卧 顿 坐在叶子上,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_4,公园里 水池边,3,公院里 水赤边,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_5,一 二 三 四,4,,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,3,妹妹 个个 弟弟三个人 和一只小鸭子,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_7,他们都在大声唱歌,2,他们走在他声 声唱的,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_8,小鸭子游泳 也呱呱叫,2,小鸭子有羊 也呱呱叫,
1e2d7c07-2ee1-3287-a72a-5b8814071ac5_9,我的名字是张四光,2,我的目的 是张四管,
21e74066-eaf3-fda1-2c6a-09533779dca9_0,树枝上有一个鸟窝,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_1,鸟儿们住在鸟窝里,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_10,我今年七岁,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_11,我是阳光小学一年级的学生,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_12,学校就在我家不远的地方,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_13,学校又大又美丽,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_14,学校也很干净,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_15,我爱我的学校,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_16,文云是我的朋友,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_17,有一次 她伤心地哭了,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_18,因为她丢了钱包,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_19,我很同情她,3,我很同前她,
21e74066-eaf3-fda1-2c6a-09533779dca9_2,一片绿叶浮在水中间,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_20,我约她去食堂,3,我要她去食堂,
21e74066-eaf3-fda1-2c6a-09533779dca9_21,我买了一碗粥给她吃,3,我买了一碗 中 粥 给她吃,
21e74066-eaf3-fda1-2c6a-09533779dca9_22,我还买了一包牛奶给文云,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_23,文云抱了我一下 跟我说 谢谢你,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_24,看到朋友开心起来 我很快乐,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_25,爸爸妈妈说 当朋友有需要 你应该关心他们,3,爸爸妈妈说 当朋友又 有需要 你应给关心他们,
21e74066-eaf3-fda1-2c6a-09533779dca9_26,可以帮助到别人 我很骄傲,3,,
21e74066-eaf3-fda1-2c6a-09533779dca9_3,一只青蛙蹲坐在叶子上,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_4,公园里 水池边,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_5,一 二 三 四,4,一 二 三 四 妹妹 哥哥 弟弟三个人 和一只小鸭子,
21e74066-eaf3-fda1-2c6a-09533779dca9_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,一 二 三 四,
21e74066-eaf3-fda1-2c6a-09533779dca9_7,他们都在大声唱歌,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_8,小鸭子游泳 也呱呱叫,4,,
21e74066-eaf3-fda1-2c6a-09533779dca9_9,我的名字是张四光,4,,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_0,树枝上有一个鸟窝,3,树着伤有一个鸟窝,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_1,鸟儿们住在鸟窝里,3,,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_10,我今年七岁,4,,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_11,我是阳光小学一年级的学生,3,我是阳光小月一年级的花生,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_12,学校就在我家不远的地方,4,,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_13,学校又大又美丽,3,学校有大有美丽,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_14,学校也很干净,4,,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_15,我爱我的学校,3,我爱我的学学校,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_16,文云是我的朋友,3,云是我的朋友,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_17,有一次 她伤心地哭了,3,有一次 她 想 伤心地哭了,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_18,因为她丢了钱包,4,,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_19,我很同情她,3,我很 我很同情她,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_2,一片绿叶浮在水中间,2,一片一片留爷 夫在水中间,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_20,我约她去食堂,3,我 月 月 月 她去师堂,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_21,我买了一碗粥给她吃,2,我美 一碗粥 各 她吃,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_22,我还买了一包牛奶给文云,3,我还买了一包牛奶给文由,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_23,文云抱了我一下 跟我说 谢谢你,3,文云包了我一下 跟我说 谢谢你,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_24,看到朋友开心起来 我很快乐,3,看到朋友开心气来 我痕快乐,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_25,爸爸妈妈说 当朋友有需要 你应该关心他们,3,爸爸妈妈说 当朋友有铄 姚 你应该关心他们,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_26,可以帮助到别人 我很骄傲,3,可以帮助到白人 我很骄,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_3,一只青蛙蹲坐在叶子上,2,已只 旧 蛙 端坐在椅子商,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_4,公园里 水池边,3,公园里 水吃边,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_5,一 二 三 四,,一 而 一二 三 四,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,2,美美 哥哥 弟弟三个人 和一,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_7,他们都在大声唱歌,3,他们抖在大声唱歌,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_8,小鸭子游泳 也呱呱叫,2,小羊至 游泳 爷呱呱叫,
22d52cb7-acbf-c1a5-8b19-42f8a92940e3_9,我的名字是张四光,3,我的名字是张十广,
26a86046-5253-87b4-4adc-fb9d591f0c1f_0,树枝上有一个鸟窝,3,树枝下有一个鸟窝,
26a86046-5253-87b4-4adc-fb9d591f0c1f_1,鸟儿们住在鸟窝里,3,鸟儿们在鸟窝里,
26a86046-5253-87b4-4adc-fb9d591f0c1f_10,我今年七岁,2,我今了七是,
26a86046-5253-87b4-4adc-fb9d591f0c1f_11,我是阳光小学一年级的学生,2,我十样刚小学一年纸的鞋甚 ,
26a86046-5253-87b4-4adc-fb9d591f0c1f_12,学校就在我家不远的地方,1,学习 的地方,
26a86046-5253-87b4-4adc-fb9d591f0c1f_13,学校又大又美丽,2,学习有大有美丽,
26a86046-5253-87b4-4adc-fb9d591f0c1f_14,学校也很干净,1,写四也痕干纸,
26a86046-5253-87b4-4adc-fb9d591f0c1f_15,我爱我的学校,1,我更我的写吃,
26a86046-5253-87b4-4adc-fb9d591f0c1f_16,文云是我的朋友,3,文允十我的朋友,
26a86046-5253-87b4-4adc-fb9d591f0c1f_17,有一次 她伤心地哭了,1,有意成 她是喜地干了,
26a86046-5253-87b4-4adc-fb9d591f0c1f_18,因为她丢了钱包,1,易文她当了成包,
26a86046-5253-87b4-4adc-fb9d591f0c1f_19,我很同情她,1,我和汤做她,
26a86046-5253-87b4-4adc-fb9d591f0c1f_2,一片绿叶浮在水中间,2,一碰 一叶 帮 在水中间,
26a86046-5253-87b4-4adc-fb9d591f0c1f_20,我约她去食堂,1,我年她尺食汤,
26a86046-5253-87b4-4adc-fb9d591f0c1f_21,我买了一碗粥给她吃,1,我没了有文字各他成  ,
26a86046-5253-87b4-4adc-fb9d591f0c1f_22,我还买了一包牛奶给文云,1,我和没了一包奶奶 奶牛 牛奶各文允,
26a86046-5253-87b4-4adc-fb9d591f0c1f_23,文云抱了我一下 跟我说 谢谢你,1,文以包了我一下 各我十 写十 你,
